Actual Price,Predicted Price
0.35,0.43779999999999986
10.11,10.638800000000003
4.95,4.963999999999996
0.15,0.20519999999999972
6.95,7.668899999999991
7.45,6.655000000000002
1.1,1.1205000000000005
0.5,0.6017
0.45,0.46379999999999955
6.0,6.7470000000000026
9.25,7.9924
1.1,1.0981
7.5,8.574200000000008
0.4,0.45410000000000034
6.15,5.377499999999997
2.65,2.6434999999999986
0.95,1.1257000000000001
17.0,14.393800000000004
0.48,0.46719999999999956
1.7,1.5555000000000008
0.42,0.31839999999999985
8.35,7.802500000000004
5.35,4.778999999999997
3.0,2.727499999999998
0.6,0.5155000000000002
3.75,3.4914999999999967
5.0,5.3285
2.65,3.2029999999999963
1.2,1.164400000000001
1.2,1.173300000000001
0.65,0.39349999999999996
8.25,8.971999999999994
0.45,0.4669000000000004
1.95,2.564900000000001
7.75,8.072400000000002
3.65,4.018499999999996
5.5,6.631700000000004
3.8,5.876900000000005
2.9,2.6065000000000014
4.75,6.3997
3.51,4.873500000000004
1.5,3.6804000000000006
4.5,4.743000000000002
0.42,0.5669000000000002
6.5,6.189
0.6,0.7277
6.25,8.280499999999996
5.25,6.733500000000005
4.0,3.0035
3.1,3.5869999999999975
5.11,5.069999999999999
1.35,1.5152000000000019
23.5,22.460599999999996
23.0,20.6303
8.25,6.5140000000000065
10.9,10.329899999999993
5.5,5.132999999999999
9.5,8.7226
2.1,2.9139000000000004
7.4,6.657899999999995
0.3,0.22589999999999988
